Date,Close,Open,High
2017-09-25,982.05,"1,006.90","1,006.90"
2017-09-22,"1,001.15","1,061.40","1,061.40"
2017-09-21,"1,065.75","1,075.80","1,080.00"
2017-09-20,"1,067.70","1,062.00","1,088.00"
2017-09-19,"1,069.20","1,083.00","1,090.00"
2017-09-18,"1,084.55","1,093.00","1,115.00"
2017-09-15,"1,082.45","1,078.00","1,097.60"
2017-09-14,"1,076.50","1,061.10","1,083.90"
2017-09-13,"1,059.75","1,075.00","1,088.00"
2017-09-12,"1,072.70","1,063.65","1,078.90"
2017-09-11,"1,057.00","1,063.00","1,069.75"
2017-09-08,"1,054.45","1,089.95","1,103.95"
2017-09-07,"1,077.10","1,068.95","1,098.00"
2017-09-06,"1,059.80","1,064.70","1,074.30"
2017-09-05,"1,073.50","1,074.55","1,083.05"
2017-09-04,"1,070.80","1,025.00","1,078.80"
2017-09-01,"1,019.65",997.95,"1,026.95"
2017-08-31,985.00,976.60,995.00
2017-08-30,975.30,977.95,984.80
2017-08-29,971.60,975.00,984.00
2017-08-28,981.45,978.85,987.50
2017-08-24,975.00,970.95,988.50
2017-08-23,971.30,965.90,979.45
2017-08-22,958.40,970.95,976.10
2017-08-21,959.55,972.35,988.00
2017-08-18,972.35,974.50,975.40
2017-08-17,976.75,980.15,999.00
2017-08-16,978.10,979.50,988.45
2017-08-14,973.40,955.00,984.40
2017-08-11,952.05,920.20,957.90
2017-08-10,933.75,935.00,957.35
2017-08-09,942.75,975.00,975.00
2017-08-08,970.85,989.95,"1,006.35"
2017-08-07,988.10,992.05,"1,005.00"
2017-08-04,992.15,999.05,"1,008.00"
2017-08-03,995.90,"1,014.10","1,028.05"
2017-08-02,"1,018.30","1,033.75","1,037.15"
2017-08-01,"1,033.80","1,026.10","1,042.00"
2017-07-31,"1,017.00",977.00,"1,024.00"
2017-07-28,970.10,973.90,978.20
2017-07-27,981.15,985.90,997.95
2017-07-26,982.10,"1,002.00","1,004.80"
2017-07-25,998.15,964.95,"1,004.00"
2017-07-24,964.15,969.00,976.40
2017-07-21,967.20,964.00,974.00
2017-07-20,959.75,977.00,979.00
2017-07-19,969.10,977.40,981.80
2017-07-18,964.60,"1,010.00","1,018.95"
2017-07-17,"1,008.55","1,035.45","1,044.95"
2017-07-14,"1,032.55","1,030.00","1,035.45"
2017-07-13,"1,026.30","1,026.00","1,041.85"
2017-07-12,"1,033.15","1,014.00","1,040.95"
2017-07-11,"1,013.90","1,063.00","1,063.00"
2017-07-10,"1,055.50","1,198.65","1,198.65"
2017-07-07,"1,089.70","1,115.00","1,134.45"
2017-07-06,"1,111.05","1,099.00","1,137.00"
2017-07-05,"1,095.75","1,057.00","1,101.00"
2017-07-04,"1,045.80","1,038.80","1,056.00"
2017-07-03,"1,028.85","1,000.30","1,034.00"
2017-06-30,999.80,990.00,"1,003.20"
2017-06-29,988.05,"1,001.45","1,010.05"
2017-06-28,999.75,993.90,"1,007.95"
2017-06-27,989.45,974.95,994.50
2017-06-23,967.40,998.85,"1,002.00"
2017-06-22,992.30,"1,000.65","1,022.90"
2017-06-21,999.50,989.90,"1,007.60"
2017-06-20,992.55,991.00,"1,000.00"
2017-06-19,994.35,994.00,"1,003.80"
2017-06-16,984.25,977.10,990.00
2017-06-15,974.05,950.00,979.45
2017-06-14,954.70,976.70,976.70
2017-06-13,971.05,988.00,995.00
2017-06-12,986.90,985.00,"1,001.10"
2017-06-09,991.90,"1,001.00","1,003.00"
2017-06-08,"1,000.05","1,008.00","1,009.45"
2017-06-07,"1,000.15","1,006.00","1,012.95"
2017-06-06,996.85,"1,023.00","1,028.90"
2017-06-05,"1,021.15","1,031.90","1,033.10"
2017-06-02,"1,025.95","1,028.40","1,034.45"
2017-06-01,"1,027.25","1,012.10","1,038.50"
2017-05-31,"1,020.00","1,034.00","1,042.00"
2017-05-30,"1,004.70",994.75,"1,011.95"
2017-05-29,993.65,988.00,"1,006.60"
2017-05-26,986.50,970.00,995.95
2017-05-25,963.60,940.40,971.20
2017-05-24,944.70,958.00,963.75
2017-05-23,959.20,"1,004.65","1,004.65"
2017-05-22,997.40,"1,002.00","1,012.20"
2017-05-19,999.05,"1,001.00","1,017.35"
2017-05-18,994.65,"1,012.00","1,012.00"
2017-05-17,"1,012.65","1,010.30","1,017.95"
2017-05-16,"1,010.30",999.90,"1,016.00"
2017-05-15,996.20,990.00,"1,003.90"
2017-05-12,989.80,"1,015.00","1,019.20"
2017-05-11,"1,014.75","1,014.95","1,023.65"
2017-05-10,"1,011.60","1,005.90","1,018.95"
2017-05-09,"1,004.30","1,003.45","1,010.00"
2017-05-08,998.85,"1,007.70","1,010.45"
2017-05-05,"1,000.90","1,024.00","1,024.00"
2017-05-04,"1,019.65","1,027.00","1,027.00"
2017-05-03,"1,018.50","1,006.40","1,035.90"
2017-05-02,"1,008.65","1,043.85","1,046.45"
2017-04-28,"1,038.65","1,042.00","1,047.60"
2017-04-27,"1,040.50","1,052.90","1,071.95"
2017-04-26,"1,053.70","1,095.00","1,095.00"
2017-04-25,"1,090.60","1,062.70","1,094.00"
2017-04-24,"1,053.55","1,058.00","1,059.25"
2017-04-21,"1,053.50","1,086.00","1,086.00"
2017-04-20,"1,074.95","1,095.00","1,096.95"
2017-04-19,"1,094.95","1,052.00","1,098.40"
2017-04-18,"1,060.45","1,080.00","1,088.35"
2017-04-17,"1,078.45","1,058.00","1,082.60"
2017-04-13,"1,050.85","1,065.00","1,069.90"
2017-04-12,"1,066.80","1,084.00","1,088.35"
2017-04-11,"1,084.10","1,090.00","1,100.00"
2017-04-10,"1,089.45","1,100.00","1,110.00"
2017-04-07,"1,088.15","1,087.00","1,102.15"
2017-04-06,"1,094.00","1,090.00","1,105.05"
2017-04-05,"1,107.55","1,105.00","1,119.50"
2017-04-03,"1,104.10","1,085.00","1,109.00"
2017-03-31,"1,078.00","1,062.50","1,084.15"
2017-03-30,"1,052.70","1,067.00","1,085.00"
2017-03-29,"1,062.20","1,078.00","1,078.00"
2017-03-28,"1,073.60","1,030.00","1,079.55"
2017-03-27,"1,020.80","1,029.00","1,049.15"
2017-03-24,"1,031.90","1,038.00","1,047.00"
2017-03-23,"1,032.90","1,035.00","1,050.05"
2017-03-22,"1,034.35","1,039.00","1,041.20"
2017-03-21,"1,049.65","1,056.70","1,062.50"
2017-03-20,"1,053.70","1,065.00","1,065.90"
2017-03-17,"1,056.60","1,057.00","1,060.40"
2017-03-16,"1,050.05","1,071.65","1,075.85"
2017-03-15,"1,068.20","1,005.10","1,090.00"
2017-03-14,"1,013.55",979.50,"1,023.80"
2017-03-10,959.35,958.50,965.65
2017-03-09,960.95,958.65,968.55
2017-03-08,960.30,955.00,966.45
2017-03-07,952.20,937.00,957.00
2017-03-06,933.70,916.10,938.00
2017-03-03,919.60,890.40,928.50
2017-03-02,899.20,926.90,934.15
2017-03-01,925.65,931.00,935.45
2017-02-28,929.20,935.00,937.95
2017-02-27,933.55,933.50,941.80
2017-02-23,933.60,945.00,954.25
2017-02-22,944.45,952.00,952.80
